filter_label,k,build_time_per_1m_kmers_mean,build_time_per_1m_kmers_std,throughput_qps_mean,throughput_qps_std,memory_per_kmer_bytes_mean,memory_per_kmer_bytes_std,false_positive_rate_mean,false_positive_rate_std,n_genomes
bloom,15,4.713699751984292,0.2702102351074737,289315.04146456026,4938.202827505454,1.7971985770245875,5.707381411854729e-08,0.000825,0.0003403429642777023,4
bloom,21,4.7891582580418275,0.32322804931755755,283017.5164238744,19518.161067546484,1.7971986949615464,2.848715315323337e-07,0.00095,0.0003415650255319866,4
bloom,31,4.745982018501845,0.23923074243939524,288677.92068288533,12232.249051071127,1.7971985761813107,1.4485198573418873e-07,0.001075,0.00028722813232690144,4
cuckoo,15,2.8306554158165715,0.03223226190752791,327735.3239969817,6137.650805246193,2.8300005997979167,0.41156246694763216,0.000575,0.00022173557826083448,4
cuckoo,21,2.862514516843896,0.057560459041247534,337862.1494863909,4965.415565654411,2.7502910421222873,0.47509180005565876,0.00065,0.00012909944487358058,4
cuckoo,31,2.8555420747841262,0.022964667926325306,343414.0900997964,16218.581685742029,2.7384193890258968,0.4801844468531597,0.000575,0.00012583057392117914,4
xor,15,8.636678526258507,0.2015262268739515,293034.62911244057,14405.105475692937,1.5375003288208602,3.355699921334249e-07,0.00095,0.0002886751345948129,4
xor,21,8.643744021300565,0.26635663683508637,293713.55127706076,3908.768466918038,1.5375003525430488,3.180569938884314e-07,0.00095,0.0003872983346207417,4
xor,31,8.567718452108599,0.1924949454968438,302611.4126603974,15262.006473096586,1.5375002050586897,2.537570484712391e-07,0.0012749999999999999,9.574271077563384e-05,4
learned,15,44.127677075069194,0.783709516605214,73686.61908002733,932.7866690181506,1.8029842929992315,0.004636319118664676,0.00105,0.0005916079783099616,4
learned,21,57.793570462918865,1.703920349903544,57096.646938604725,800.6086515837164,1.8028062345308586,0.004472289062775283,0.001275,0.0003862210075418822,4
learned,31,79.48582919618723,0.643257031223263,42080.34536254787,425.13949385144775,1.802756886005414,0.004382190640460992,0.000975,0.000206155281280883,4
