filter_label,target_fpr,false_positive_rate_mean,false_positive_rate_std,n_observations
bloom,0.0001,0.00015,0.00011677484162422844,12
bloom,0.001,0.0010666666666666667,0.00024618298195866543,12
bloom,0.01,0.009908333333333333,0.0011587284043948847,12
cuckoo,0.0001,5.833333333333333e-05,6.685579234215214e-05,12
cuckoo,0.001,0.000575,0.0003194455423784382,12
cuckoo,0.01,0.004166666666666667,0.0006826863160050932,12
xor,0.0001,6.666666666666667e-05,8.876253645985946e-05,12
xor,0.001,0.0008500000000000001,0.00020225995873897264,12
xor,0.01,0.007658333333333333,0.0008129165598838131,12
learned,0.0001,0.00010833333333333333,0.00012401124093721453,12
learned,0.001,0.0010583333333333332,0.00031466673086799553,12
learned,0.01,0.018975000000000002,0.0020507759063783195,12
